idx_pk,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,2,7,0,14,13,0,1,1,4,1,3,0,1,39,0
1,3,6,0,14,13,4,4,0,4,1,0,0,0,39,0
2,2,4,3,9,9,2,6,1,4,1,0,0,1,39,0
3,3,4,3,3,7,4,6,0,2,1,0,0,1,39,0
4,1,4,4,14,13,4,10,5,2,0,0,0,1,5,0
5,2,4,4,15,14,4,4,5,4,0,0,0,1,39,0
6,3,4,2,6,5,5,8,1,2,0,0,0,0,23,0
7,3,6,3,9,9,4,4,0,4,1,0,0,2,39,1
8,1,4,0,15,14,0,10,1,4,0,3,0,2,39,1
9,2,4,2,14,13,4,4,0,4,1,3,0,1,39,1
10,2,4,4,0,10,4,4,0,2,1,0,0,3,39,1
11,1,7,1,14,13,4,10,0,1,1,0,0,1,19,1
12,0,4,1,14,13,0,1,3,4,0,0,0,1,39,0
13,1,4,3,13,12,0,12,1,2,1,0,0,2,39,0
14,2,4,1,10,11,4,3,0,1,1,0,0,1,0,1
15,1,4,3,7,4,4,14,0,0,1,0,0,2,26,0
16,0,6,2,9,9,0,5,3,4,1,0,0,1,39,0
17,1,4,2,9,9,0,7,4,4,1,0,0,1,39,0
18,2,4,0,3,7,4,12,0,4,1,0,0,2,39,0
19,2,6,4,15,14,2,4,4,4,0,0,0,2,39,1
20,2,4,2,12,16,4,10,0,4,1,0,0,2,39,1
21,3,4,4,9,9,3,8,4,2,0,0,0,0,39,0
22,1,1,0,6,5,4,5,0,2,1,0,0,1,39,0
23,2,4,1,3,7,4,14,0,4,1,0,3,1,39,0
24,4,4,1,9,9,2,13,4,4,0,0,0,1,39,0
25,4,2,3,14,13,4,13,0,4,1,0,0,1,39,1
26,0,4,2,9,9,0,3,3,4,1,0,0,1,39,0
27,3,0,2,0,10,4,0,0,1,1,0,0,2,35,1
28,2,4,4,9,9,2,4,1,4,1,0,0,3,39,0
29,3,4,2,9,9,4,3,0,4,1,0,0,1,39,0
30,0,2,2,13,12,0,11,1,4,1,0,0,2,39,0
31,0,4,4,0,10,0,12,3,2,1,0,0,2,39,0
32,2,4,4,14,13,2,4,3,4,1,0,3,1,39,0
33,1,1,0,0,10,4,1,3,4,1,0,0,1,39,0
34,0,7,4,0,10,4,8,0,2,1,0,0,0,39,0
35,3,4,3,3,7,0,7,4,4,1,0,0,1,33,0
36,0,4,3,0,10,0,7,3,4,1,0,0,1,39,0
37,0,4,4,9,9,6,1,5,4,0,0,0,1,39,0
38,1,4,0,0,10,4,12,0,4,1,0,0,1,0,1
39,3,6,4,13,12,4,10,0,4,1,0,0,1,39,0
40,1,4,4,6,5,4,7,0,4,1,0,0,2,39,0
41,3,6,0,14,13,4,10,0,4,1,0,0,1,39,0
42,0,4,2,14,13,4,13,0,4,1,0,0,2,39,0
43,3,4,0,9,9,3,1,4,4,0,0,0,1,39,0
44,0,4,4,9,9,0,6,1,4,1,0,0,1,39,0
45,4,1,4,14,13,4,10,0,2,1,0,0,1,39,1
46,3,4,1,9,9,4,7,0,4,1,0,0,1,39,0
47,2,4,1,15,14,2,4,4,4,0,0,0,1,39,0
48,2,7,0,10,11,4,3,0,4,1,0,0,1,39,0
49,1,4,4,10,11,0,10,1,4,1,0,0,2,39,0
50,0,4,0,0,10,4,4,5,3,0,0,0,1,39,0
51,0,4,3,9,9,0,8,3,4,0,0,0,1,0,0
52,3,4,0,1,15,4,10,5,4,0,0,3,2,16,1
53,3,1,3,14,13,2,4,1,4,1,0,0,2,39,1
54,3,5,1,9,9,2,4,1,4,1,0,0,2,39,0
55,2,4,3,0,10,4,13,0,4,1,0,0,1,39,1
56,3,4,3,8,3,4,7,0,4,1,0,0,1,26,0
57,1,4,0,10,11,4,8,0,4,1,0,0,1,33,0
58,2,4,1,9,9,4,1,0,4,1,0,0,2,39,0
59,1,4,2,9,9,4,7,0,4,1,3,0,1,39,0
60,1,4,0,14,13,4,12,0,4,1,3,0,1,39,0
61,1,0,4,7,4,5,0,1,4,1,0,0,1,0,0
62,3,4,1,9,9,4,14,0,4,1,0,0,1,39,0
63,2,4,1,12,16,4,10,0,4,1,0,0,2,39,1
64,1,4,0,0,10,2,13,1,4,1,0,0,2,39,0
65,2,4,1,9,9,4,3,0,4,1,0,0,1,39,0
66,1,4,2,0,10,2,1,1,4,0,0,0,1,39,0
67,3,4,2,9,9,4,1,5,4,0,0,0,1,39,1
68,3,5,2,0,10,4,4,0,4,1,0,0,2,39,1
69,0,0,3,0,10,0,0,3,4,1,0,0,1,39,0
70,0,4,0,0,10,0,10,3,4,1,0,0,1,39,0
